"과세유형별(1)","지역및업태별(1)",지역및업태별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"과세유형별(1)","지역및업태별(1)",지역및업태별(2),총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상
"법인사업자","지역별",대구,40596,1741,1732,3486,3736,6456,10054,8030,3751,1610,38719,1796,2038,4066,3683,5708,9215,7277,3495,1441,36963,2350,2166,4035,3492,5055,8616,6748,3183,1318,34388,2089,2333,3871,2937,4833,7949,6339,2854,1183,31899,2329,1971,3244,2756,4770,7128,6095,2515,1091
"법인사업자","지역별",경북,53056,2237,2260,4293,4312,7553,12803,11757,6030,1811,51587,2274,2460,4672,4289,7223,12165,11109,5702,1693,49061,2501,2575,4603,4201,6710,11408,10368,5178,1517,46240,2564,2425,4530,3765,6483,10595,10038,4440,1400,43373,2356,2504,4132,3674,6260,9702,9608,3843,1294
"법인사업자","지역별",부산,67832,2833,2954,6187,6714,10118,16247,13904,6477,2398,65733,3048,3777,7335,5925,9037,15420,13011,6052,2128,62130,4244,3773,6433,5377,8215,14627,12090,5471,1900,57304,3314,3765,5889,4706,8216,13277,11548,4832,1757,53689,3376,3143,5219,4647,8322,11919,11145,4308,1610
"법인사업자","지역별",울산,18761,832,829,1730,1750,2745,4575,3802,1944,554,18198,963,985,1944,1686,2435,4318,3564,1838,465,17123,1165,968,1822,1419,2232,4134,3272,1692,419,15804,950,1015,1525,1310,2243,3773,3128,1478,382,14757,880,849,1472,1199,2438,3189,3111,1288,331
"법인사업자","지역별",경남,60449,2522,2495,5251,5116,8333,14425,13538,6877,1892,58360,2692,2989,5605,4800,7652,13819,12723,6350,1730,55324,3100,2987,5186,4468,7086,13380,11777,5748,1592,51532,2669,2924,4780,4072,6964,12463,11303,4890,1467,48545,2678,2568,4439,3846,7374,11178,10863,4240,1359
"법인사업자","지역별",제주,19507,822,866,1838,1856,2896,5397,3770,1461,601,19012,862,1135,2093,1675,2793,5166,3379,1472,437,17911,1165,1078,1800,1596,2651,4898,2991,1403,329,16319,985,950,1678,1539,2678,4211,2756,1260,262,15190,892,929,1663,1398,2851,3595,2533,1187,142
"법인사업자","업태별",소계,1302189,60080,60101,122952,125247,202896,319955,259354,117667,33937,1252033,63440,72271,137048,119743,183751,296275,240323,110000,29182,1177949,77539,72488,130501,107109,167635,274910,222526,100541,24700,1086469,69973,73499,116709,97343,158127,249536,212170,87066,22046,1002855,66812,62155,107037,90579,154381,222952,204353,75017,19569
"법인사업자","업태별",농·임·어업,27969,963,1249,2194,2514,4681,7965,7328,803,272,26938,995,1281,2652,2739,4207,7678,6395,749,242,25890,1302,1468,2901,2475,3866,7483,5493,673,229,24162,1405,1618,2614,2135,3805,7198,4582,592,213,22129,1355,1382,2251,2109,3803,6900,3579,554,196
"법인사업자","업태별",광업,1159,18,30,54,59,120,254,315,202,107,1168,18,32,61,66,120,265,307,218,81,1153,24,34,66,64,132,262,282,220,69,1145,33,32,64,69,132,255,294,206,60,1158,34,37,73,78,130,244,315,195,52
"법인사업자","업태별",제조업,228474,6783,7301,14450,15290,30314,59683,58411,28573,7669,222572,7398,7658,16078,16683,29730,57587,53912,27053,6473,214959,8266,8476,17688,16055,28817,56089,49409,24633,5526,205800,9559,9122,16756,15899,27334,53893,46550,21772,4915,195024,8714,8889,16792,15251,27516,49232,45796,18512,4322
"법인사업자","업태별",전기·가스·수도업,13086,411,437,841,816,2534,6299,1474,209,65,12487,394,396,822,1105,4262,4082,1172,203,51,11954,386,406,1115,1521,4882,2385,1037,177,45,11532,540,582,1570,3113,2711,1876,982,117,41,10870,631,979,3295,2156,1306,1463,904,98,38
"법인사업자","업태별",도매업,192516,8482,8240,15438,15404,26998,49675,45577,18619,4083,187505,8799,8558,17129,15924,25859,48046,42597,17226,3367,181435,9900,9497,17825,14909,25080,46042,39848,15496,2838,173645,10438,10070,16720,14440,25114,43063,37734,13673,2393,164876,9897,9241,16187,14396,25299,39687,36308,11908,1953
"법인사업자","업태별",소매업,84438,7341,6224,12243,10994,15300,18716,9841,3109,670,78636,7405,7145,12842,10207,11754,17249,8499,2967,568,70849,8374,6991,11614,7542,9821,15965,7389,2644,509,61536,7169,6683,8654,5891,10080,13757,6797,2055,450,52651,5636,4531,6703,5544,10364,11454,6277,1751,391
"법인사업자","업태별",부동산매매업,58140,2287,2389,8249,10211,15484,13489,5176,737,118,57092,3251,5715,11008,9746,10751,11512,4421,593,95,51211,6762,4992,10439,7413,7478,9841,3773,447,66,41981,3743,7550,8008,4478,6592,8075,3149,341,45,32869,4813,3929,4847,3794,6500,5977,2697,269,43
"법인사업자","업태별",건설업,142919,3906,4705,10001,11620,19901,32809,33420,23277,3280,139379,4653,5958,12321,11395,17927,30156,32783,21320,2866,132954,5840,7159,12030,10081,16616,27269,32671,19412,1876,123789,5802,6809,10572,9149,15768,24475,33605,16091,1518,115396,5460,5667,9755,8777,15021,22159,34069,13268,1220
"법인사업자","업태별",음식업,29377,3257,2852,4442,3536,5613,6602,2403,558,114,28519,2829,2660,4599,3678,5435,6342,2288,587,101,26913,2886,2722,4597,3701,4691,5741,1983,514,78,25081,2966,2581,4653,3211,4688,4660,1801,452,69,23355,3320,2458,4034,2906,4453,4224,1581,318,61
"법인사업자","업태별",숙박업,4444,348,318,569,502,692,989,680,216,130,3877,272,304,530,395,592,863,604,199,118,3408,304,241,395,329,495,856,506,182,100,2949,199,200,337,290,428,773,452,172,98,2675,182,163,304,236,443,665,439,152,91
"법인사업자","업태별",운수·창고·통신업,50425,1786,1862,3327,3211,5361,10878,13265,7213,3522,48664,1788,1829,3449,2772,5546,10447,12913,6704,3216,46555,1959,1655,2903,3094,5208,10096,12588,6161,2891,44394,1527,1504,3283,2896,5079,9668,12194,5558,2685,43369,1616,1869,3153,2740,5284,9289,12033,4903,2482
"법인사업자","업태별",부동산임대업,62409,2059,1857,4943,5514,8962,15257,11417,8212,4188,60182,2215,3073,5870,5145,7794,14047,10452,7846,3740,56983,3451,2961,5502,4508,6957,12793,10020,7416,3375,52984,2786,3284,4944,4061,6898,11203,9976,6667,3165,49035,2928,2524,4447,3631,7393,9382,9436,6369,2925
"법인사업자","업태별",대리·중개·도급업,12355,805,759,1295,1231,2428,3774,1515,340,208,11738,753,716,1390,1397,2438,3328,1208,333,175,11091,733,829,1530,1416,2330,2811,962,326,154,10319,862,857,1591,1392,2062,2314,783,315,143,9457,871,977,1551,1286,1777,1918,664,308,105
"법인사업자","업태별",서비스업,394478,21634,21878,44906,44345,64508,93565,68532,25599,9511,373276,22670,26946,48297,38491,57336,84673,62772,24002,8089,342594,27352,25057,41896,34001,51262,77277,56565,22240,6944,307152,22944,22607,36943,30319,47436,68326,53271,19055,6251,279991,21355,19509,33645,27675,45092,60358,50255,16412,5690
"일반사업자","합계",소계,5219560,278347,283206,541342,554922,798301,1289513,948241,430871,94817,5049323,299832,333039,626639,485472,760767,1157895,922179,392162,71338,4784627,368851,343465,544998,446400,741266,1027555,911637,344250,56205,4608083,335794,289121,540045,467213,730296,963039,913072,320512,48991,4366053,303312,292170,548918,461773,674346,870401,884229,289977,40927
"일반사업자","지역별",소계,5219560,278347,283206,541342,554922,798301,1289513,948241,430871,94817,5049323,299832,333039,626639,485472,760767,1157895,922179,392162,71338,4784627,368851,343465,544998,446400,741266,1027555,911637,344250,56205,4608083,335794,289121,540045,467213,730296,963039,913072,320512,48991,4366053,303312,292170,548918,461773,674346,870401,884229,289977,40927
