"15133SEJ 과세유형별(1)","13301B 시도․업태별(1)","13301B 시도․업태별(2)",TIME 시점,16133T2008_0245 총계,16133T2008_0418 사업부진,16133T2008_0419 행정처분,16133T2008_0420 계절사업,16133T2008_0421 법인전환,16133T2008_0422 면세포기·적용,T001 양도·양수,16133T2008_0425 해산·합병,16133ABA7 기타
"15133SEJ01 법인사업자","B02 지역별","B09 충남",Y2021 2021,2437,929,36,1,-,-,45,71,1355
"15133SEJ01 법인사업자","B02 지역별","B09 충남",Y2022 2022,2638,1018,10,0,0,0,43,88,1479
"15133SEJ01 법인사업자","B02 지역별","B09 충남",Y2023 2023,2847,1172,6,3,-,-,37,93,1536
"15133SEJ01 법인사업자","B02 지역별","B10 세종",Y2019 2019,423,143,2,-,-,-,14,7,257
"15133SEJ01 법인사업자","B02 지역별","B10 세종",Y2020 2020,413,148,1,-,-,-,9,14,241
"15133SEJ01 법인사업자","B02 지역별","B10 세종",Y2021 2021,381,153,1,-,-,-,8,18,201
"15133SEJ01 법인사업자","B02 지역별","B10 세종",Y2022 2022,397,158,1,0,0,0,9,11,218
"15133SEJ01 법인사업자","B02 지역별","B10 세종",Y2023 2023,467,204,1,-,-,-,13,14,235
"15133SEJ01 법인사업자","B02 지역별","B11 광주",Y2019 2019,1837,756,17,-,-,-,35,56,973
"15133SEJ01 법인사업자","B02 지역별","B11 광주",Y2020 2020,1997,911,18,-,-,-,43,38,987
"15133SEJ01 법인사업자","B02 지역별","B11 광주",Y2021 2021,1755,833,17,-,-,-,46,53,806
"15133SEJ01 법인사업자","B02 지역별","B11 광주",Y2022 2022,1765,837,6,1,0,0,25,40,856
"15133SEJ01 법인사업자","B02 지역별","B11 광주",Y2023 2023,1992,942,14,1,-,-,31,62,942
"15133SEJ01 법인사업자","B02 지역별","B12 전북",Y2019 2019,1951,816,5,-,-,-,30,50,1050
"15133SEJ01 법인사업자","B02 지역별","B12 전북",Y2020 2020,1971,844,4,-,-,-,25,45,1053
"15133SEJ01 법인사업자","B02 지역별","B12 전북",Y2021 2021,1994,887,3,-,-,-,34,58,1012
"15133SEJ01 법인사업자","B02 지역별","B12 전북",Y2022 2022,2006,899,8,2,0,0,23,55,1019
"15133SEJ01 법인사업자","B02 지역별","B12 전북",Y2023 2023,2142,989,3,4,-,-,20,62,1064
