"사업자별(1)","성별(1)","지역별(1)",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"사업자별(1)","성별(1)","지역별(1)",합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상
"합계","여자","인천",39105,4180,8151,10582,10805,4367,1020,48060,5251,9391,12308,13343,6338,1429,47761,6012,10560,12811,12118,5256,1004,40226,5271,10151,10959,9104,4001,740,37081,4862,9811,9859,7916,3862,771
"합계","여자","경기",170374,17552,37234,48884,45439,17263,4002,206124,22259,41970,56600,54510,24629,6156,210229,24728,47319,60002,52375,21513,4292,185844,22665,45465,52493,43282,18404,3535,170213,22095,44434,46548,37294,16652,3190
"합계","여자","강원",16555,1504,2963,4377,4984,2288,439,19647,1720,3234,5125,5740,3134,694,17952,1859,3317,4772,4770,2713,521,18443,1998,3504,4891,4893,2648,509,16778,1807,3268,4418,4344,2491,450
"합계","여자","대전",15738,2032,3462,4330,4009,1637,268,18432,2201,3522,4785,4821,2516,587,16440,2531,3620,4399,3823,1758,309,15487,2466,3615,4195,3465,1499,247,15141,2499,3651,3885,3285,1546,275
"합계","여자","충북",16607,1956,3352,4477,4660,1835,327,18759,2057,3417,4934,5257,2597,497,17789,2273,3540,4722,4695,2197,362,17329,2133,3665,4573,4535,2060,363,16356,2116,3551,4120,4039,2134,396
"합계","여자","충남",23150,2328,4867,6561,6263,2644,487,26485,2540,5163,7132,7242,3579,829,26404,2975,5445,7143,6959,3252,630,26649,2952,5477,7333,6904,3324,659,23641,2809,5027,6243,5833,3132,597
"합계","여자","세종",4689,419,1224,1536,1089,366,55,5386,489,1229,1684,1333,565,86,4844,471,1193,1659,1022,414,85,4505,496,1222,1492,872,352,71,4150,456,1076,1405,817,328,68
"합계","여자","광주",16101,2297,3595,4612,4032,1322,243,18128,2428,3522,5151,4604,2021,402,16543,2520,3349,4708,4043,1637,286,15479,2455,3423,4256,3636,1455,254,14962,2395,3403,3993,3317,1585,269
"합계","여자","전북",20194,2075,3894,5731,5622,2369,503,21356,2166,3650,5843,6112,2947,638,19069,2323,3577,5159,4992,2489,529,18580,2239,3500,4882,4847,2570,542,19980,2252,3629,5010,5225,3146,718
"합계","여자","전남",19572,1813,3640,5742,5743,2222,412,21079,2007,3510,5896,6223,2842,601,18917,2126,3683,5075,5078,2440,515,18034,2051,3290,4916,4950,2377,450,18034,2052,3228,4630,4874,2693,557
"합계","여자","대구",24021,3092,5435,6910,5869,2304,411,25930,3266,5118,6982,6838,3073,653,24699,3589,5409,6826,5981,2452,442,23003,3457,5393,6348,5192,2178,435,22338,3216,5326,6111,5089,2180,416
"합계","여자","경북",25527,2576,5471,7042,7081,2854,503,27088,2756,5104,7322,7558,3646,702,25791,3037,5235,6951,6751,3237,580,25304,2814,5155,6853,6563,3317,602,25094,2794,4851,6746,6574,3460,669
"합계","여자","부산",35392,4274,7694,9550,9059,4036,779,42430,4899,8471,10818,10996,5916,1330,40558,5266,9163,10731,9717,4765,916,35725,4843,8444,9525,8145,3993,775,32824,4616,8093,8742,7029,3554,790
"합계","여자","울산",11283,1383,2533,3110,3064,1065,128,12781,1393,2540,3532,3540,1542,234,11011,1465,2465,3021,2739,1148,173,11039,1411,2656,3121,2592,1099,160,10285,1225,2334,2920,2493,1142,171
"합계","여자","경남",32898,3441,7297,9388,8867,3374,531,36277,3727,7272,10079,9891,4535,773,33297,4046,7286,9366,8210,3778,611,32845,3740,7315,9313,8046,3860,571,31185,3587,6708,8662,7724,3907,597
"합계","여자","제주",9501,800,2165,2893,2477,969,197,10144,865,2120,3064,2679,1184,232,9836,1054,2367,2970,2315,938,192,9199,951,2166,2742,2210,935,195,9092,943,2100,2692,2149,1000,208
"법인사업자","합계","합계",137186,8873,27857,44952,37954,14562,2988,152813,10108,30846,49940,41406,17099,3414,159069,10887,32277,50645,43001,18545,3714,143911,9702,29476,45278,38890,17250,3315,128185,8993,25441,39180,35097,16067,3407
"법인사업자","남자","합계",103294,6674,20568,32912,29270,11509,2361,111836,7444,22163,35266,30865,13396,2702,115793,8139,22845,35543,31921,14433,2912,104129,7194,20821,31494,28709,13341,2570,93706,6618,18289,27780,25926,12434,2659
"법인사업자","남자","서울",29921,2355,7379,9825,7189,2612,561,30612,2224,7471,10051,7308,2946,612,31998,2208,7644,10459,7740,3121,826,28076,1947,6741,9074,6955,2807,552,25038,1725,6028,7899,6225,2567,594
"법인사업자","남자","인천",4791,388,1019,1480,1350,467,87,5264,383,1092,1632,1440,597,120,5407,352,1185,1686,1454,630,100,5207,399,1129,1616,1333,610,120,4871,378,1028,1494,1298,561,112
"법인사업자","남자","경기",26856,1659,5203,8719,7780,2903,592,31604,2065,6088,10224,8908,3593,726,32494,2284,6248,10092,9197,3946,727,29661,2031,5925,9057,8321,3670,657,26764,1977,5200,8105,7468,3343,671
"법인사업자","남자","강원",2281,99,335,639,736,396,76,2613,137,389,665,829,518,75,2680,192,430,671,786,508,93,2528,198,378,636,789,443,84,2227,158,340,567,666,388,108
"법인사업자","남자","대전",2529,141,472,870,714,282,50,2789,179,566,874,753,376,41,2757,179,537,858,810,315,58,2454,181,454,775,669,334,41,2124,168,374,700,576,270,36
"법인사업자","남자","충북",2611,166,355,731,891,398,70,3014,183,449,915,929,456,82,3247,194,529,876,1034,519,95,2717,233,425,698,831,452,78,2459,179,362,637,739,452,90
